epoch,loss_G,loss_D,loss_patch,loss_adv_G
1,15.590741435459682,0.027061765374819514,14.67348675591605,0.917254664685045
2,12.23037005833217,0.0003804302931049668,11.23131143297468,0.9990586316585541
3,10.87931784766061,0.0001907600542342282,9.879792747497559,0.9995251301356725
4,9.955388058253696,0.00012392898604567953,8.955646148409162,0.9997418974127088
5,9.278150724683488,0.00011201137333435846,8.27819926398141,0.9999514649595533
6,8.824657192230225,7.57340136890759e-05,7.824810376848493,0.9998468247481754
7,8.501832447052003,0.00011189996518234173,7.501921311787196,0.9999111483778272
8,8.212954085213797,0.00012014450616983855,7.2129814842769076,0.9999726177964892
9,7.976170429502215,0.00018809177822082086,6.976108741760254,1.0000616795676096
10,7.840548065730504,0.00012692185063510156,6.8406373160226,0.9999107565198626
11,7.610863402230399,0.00012814559124698074,6.610769397190639,1.000093994140625
12,7.467122278213501,0.00012346283487399239,6.466984706606183,1.0001375697340285
13,7.3507843099321635,0.00021968869626756972,6.350852793284825,0.999931491783687
14,8.064751719066075,0.08999883078012187,7.319396882738386,0.7453548372217587
15,7.526188611984253,0.00475609269250916,6.535818395614624,0.9903702080249787
16,7.211757797513689,0.0014375264147279917,6.215041091101511,0.9967167033467974
17,7.080852026258196,0.0009332012546448303,6.0833900342668805,0.9974620006765638
18,7.002876101902553,0.0017446009183290049,6.004823071616037,0.9980530433995383
19,6.88513022014073,0.0009391729740517413,5.886228107724871,0.9989020999840328
20,6.797860080174037,0.0007182819194141692,5.798826025554112,0.9990340522357396
21,6.721112379346575,0.0005361598557283287,5.721424348013741,0.9996880430834634
22,6.625524631227766,0.00031726971253062534,5.626158541270665,0.999366090638297
23,6.551183126994542,0.0002609691563806596,5.551266702924456,0.9999164267948696
24,6.477003792354039,0.00020053396351743557,5.477053119114467,0.9999506855010987
25,6.4089163902827675,0.0001914722098574982,5.409083549635751,0.9998328249795096
26,6.379746607371739,0.00022019594613733977,5.379949902806963,0.9997966865130833
27,6.274192252840314,0.00021193439738064105,5.274052015713283,1.0001402352537427
28,6.246131074087961,0.00018801221833720255,5.246206432070051,0.9999246440614973
29,6.1903636959620885,0.0001948533291475282,5.190435003553118,0.9999286821910314
30,6.121136940547398,0.00013458117842154543,5.121241029330663,0.9998959055968694
31,6.0967936515808105,0.00015896513642993731,5.096718730926514,1.000074918951307
32,6.05261107308524,0.00020459588695302954,5.0526547561373025,0.9999563132013594
33,5.991548470088413,0.0001471735624350653,4.991649086134775,0.9998993798664638
34,5.95260077885219,0.000300387041115755,4.95250880581992,1.0000919757570539
35,5.899028216770717,0.00024581170953232295,4.898798255239214,1.0002299637453897
36,5.858944898332869,0.00012262375178969314,4.859063574927194,0.9998813245977675
37,5.814615794590542,0.00014293036822372025,4.814516602924892,1.0000991903032574
38,5.803527502332415,0.00013148536947158262,4.803577778679984,0.999949735232762
39,5.748608747209821,0.00015251538362333252,4.748697183472769,0.9999115606716701
40,5.731565591267177,0.00015519795703864604,4.731385508264814,1.0001800833429608
41,5.691945509229387,0.00012234479007279983,4.691978196416582,0.9999673051493508
42,5.653549912316459,0.0001432427317454962,4.6534573500497,1.0000925620964596
43,5.645068022183009,0.00013499648465118037,4.645330394336155,0.999737628868648
44,5.590696627753122,7.884056267357665e-05,4.59060113293784,1.0000955028193337
45,5.566608851296561,0.00015432444182546793,4.566492675372532,1.0001161827359881
46,5.541997494016375,9.350196951183015e-05,4.542120641980852,0.9998768683842251
47,5.538999263218471,0.00013116938434450275,4.538811497007098,1.0001877752372197
48,5.498734497342791,0.00011476984486047773,4.498679641314915,1.0000548446178437
49,5.464156181471688,0.0002229770219004682,4.464171133722577,0.9999850477491107
50,5.4858688606534685,0.0017424031797671497,4.486932223864964,0.9989366284438542
